Pure Mg,Pure Mg,Al- Mg-Bi,Al- Mg-Bi,Al-Mg-Sr,Al-Mg-Sr,Al-Mg-Zn,Al-Mg-Zn
Elapsed Time (s),Working Electrode vs. NHE (V),Elapsed Time (s),Working Electrode vs. NHE (V),Elapsed Time (s),Working Electrode vs. NHE (V),Elapsed Time (s),Working Electrode vs. NHE (V)
1,-1.30043,1,-1.25875,1,-1.2708,1,-1.23719
2,-1.30035,2,-1.25913,2,-1.27073,2,-1.23782
3,-1.30023,3,-1.25924,3,-1.27053,3,-1.2375
4,-1.30013,4,-1.25861,4,-1.27034,4,-1.23693
5,-1.30001,5,-1.25889,5,-1.27047,5,-1.23741
6,-1.29992,6,-1.25926,6,-1.27044,6,-1.23784
7,-1.29977,7,-1.25959,7,-1.27087,7,-1.2375
8,-1.29974,8,-1.25954,8,-1.27102,8,-1.23818
9,-1.2996,9,-1.25949,9,-1.27092,9,-1.23753
10,-1.29946,10,-1.25982,10,-1.27067,10,-1.23767
11,-1.2993,11,-1.25988,11,-1.27088,11,-1.23773
12,-1.29914,12,-1.26006,12,-1.27123,12,-1.23709
13,-1.299,13,-1.26019,13,-1.27152,13,-1.23737
14,-1.29885,14,-1.26081,14,-1.27113,14,-1.2372
15,-1.29871,15,-1.26076,15,-1.27115,15,-1.23707
16,-1.29849,16,-1.2604,16,-1.27092,16,-1.23721
17,-1.29831,17,-1.26012,17,-1.27097,17,-1.23764
18,-1.29813,18,-1.26023,18,-1.27128,18,-1.23813
19,-1.29793,19,-1.25999,19,-1.27153,19,-1.23767
20,-1.29772,20,-1.25941,20,-1.27173,20,-1.23786
21,-1.29755,21,-1.25997,21,-1.27207,21,-1.23795
22,-1.29731,22,-1.26015,22,-1.27221,22,-1.23768
23,-1.29707,23,-1.26003,23,-1.27232,23,-1.23821
24,-1.29685,24,-1.25972,24,-1.27232,24,-1.23843
25,-1.2966,25,-1.26019,25,-1.27248,25,-1.23802
26,-1.29638,26,-1.25999,26,-1.27259,26,-1.23784
27,-1.29613,27,-1.25962,27,-1.27279,27,-1.23837
28,-1.29587,28,-1.25944,28,-1.27295,28,-1.23841
29,-1.29563,29,-1.25917,29,-1.2731,29,-1.23864
30,-1.29539,30,-1.25913,30,-1.27327,30,-1.23903
31,-1.29512,31,-1.25874,31,-1.27341,31,-1.23916
32,-1.29491,32,-1.25844,32,-1.27371,32,-1.23908
33,-1.29465,33,-1.25828,33,-1.27406,33,-1.23856
34,-1.29437,34,-1.25857,34,-1.27422,34,-1.23845
35,-1.29407,35,-1.25832,35,-1.27443,35,-1.23855
36,-1.29384,36,-1.25874,36,-1.27452,36,-1.23904
37,-1.29356,37,-1.25853,37,-1.27448,37,-1.23804
38,-1.29328,38,-1.25857,38,-1.27452,38,-1.2382
39,-1.29305,39,-1.25769,39,-1.2746,39,-1.23852
40,-1.29277,40,-1.25807,40,-1.27461,40,-1.23808
41,-1.29256,41,-1.25765,41,-1.27465,41,-1.23857
42,-1.29225,42,-1.2575,42,-1.27483,42,-1.23838
43,-1.292,43,-1.25743,43,-1.27499,43,-1.23832
44,-1.29173,44,-1.25777,44,-1.27492,44,-1.23845
45,-1.29146,45,-1.25776,45,-1.27501,45,-1.23826
46,-1.29122,46,-1.25778,46,-1.27507,46,-1.23798
47,-1.29096,47,-1.25854,47,-1.2751,47,-1.23777
48,-1.29073,48,-1.25829,48,-1.27507,48,-1.23786
49,-1.29051,49,-1.25771,49,-1.27508,49,-1.23801
50,-1.29028,50,-1.2581,50,-1.27499,50,-1.23822
51,-1.29005,51,-1.25836,51,-1.27498,51,-1.23855
52,-1.28992,52,-1.25782,52,-1.27492,52,-1.23823
53,-1.28975,53,-1.25818,53,-1.27483,53,-1.23862
54,-1.28958,54,-1.25816,54,-1.27473,54,-1.23875
55,-1.28936,55,-1.25878,55,-1.27471,55,-1.23864
56,-1.2892,56,-1.25821,56,-1.27466,56,-1.23909
57,-1.28904,57,-1.25799,57,-1.27457,57,-1.2388
58,-1.2889,58,-1.25827,58,-1.27456,58,-1.23859
59,-1.28876,59,-1.25841,59,-1.27439,59,-1.23864
60,-1.28862,60,-1.25818,60,-1.27435,60,-1.23877
61,-1.28849,61,-1.25769,61,-1.27426,61,-1.23879
62,-1.28836,62,-1.25763,62,-1.27423,62,-1.23854
63,-1.28828,63,-1.25783,63,-1.27402,63,-1.23866
64,-1.28819,64,-1.25756,64,-1.27392,64,-1.23866
65,-1.2881,65,-1.25772,65,-1.27367,65,-1.23919
66,-1.28803,66,-1.25751,66,-1.27341,66,-1.23916
67,-1.28797,67,-1.25709,67,-1.27314,67,-1.23965
68,-1.2879,68,-1.25723,68,-1.27297,68,-1.23984
69,-1.28789,69,-1.25707,69,-1.27282,69,-1.23999
70,-1.28789,70,-1.25799,70,-1.2727,70,-1.23983
71,-1.28787,71,-1.25795,71,-1.27257,71,-1.24006
72,-1.28783,72,-1.25763,72,-1.2723,72,-1.2396
73,-1.2878,73,-1.25818,73,-1.27225,73,-1.24005
74,-1.2878,74,-1.25824,74,-1.27217,74,-1.23985
75,-1.2878,75,-1.25807,75,-1.2724,75,-1.23956
76,-1.28778,76,-1.25758,76,-1.27234,76,-1.23996
77,-1.28783,77,-1.25777,77,-1.27211,77,-1.24002
78,-1.28791,78,-1.2582,78,-1.27184,78,-1.23995
79,-1.28793,79,-1.25806,79,-1.27206,79,-1.24046
80,-1.2879,80,-1.25859,80,-1.2719,80,-1.24004
81,-1.28793,81,-1.25804,81,-1.27184,81,-1.24034
82,-1.28793,82,-1.2577,82,-1.27191,82,-1.24012
83,-1.28796,83,-1.2582,83,-1.27203,83,-1.2401
84,-1.28799,84,-1.25822,84,-1.27202,84,-1.24019
85,-1.28803,85,-1.25806,85,-1.27173,85,-1.24005
86,-1.28802,86,-1.25781,86,-1.27167,86,-1.23907
87,-1.28804,87,-1.25815,87,-1.27178,87,-1.23897
88,-1.28805,88,-1.25842,88,-1.27169,88,-1.23878
89,-1.28805,89,-1.25795,89,-1.27157,89,-1.23887
90,-1.28805,90,-1.25761,90,-1.27161,90,-1.23972
91,-1.28808,91,-1.25802,91,-1.27132,91,-1.23948
92,-1.28809,92,-1.2575,92,-1.27152,92,-1.23897
93,-1.28814,93,-1.25764,93,-1.27144,93,-1.23906
